659,field1,Out Temperature
659,field7,Roomtemp Swimming bath
659,field2,Domestic Water
659,field4,Oil Burner 2 Tempr.
659,field3,Oil Burner 1 Tempr.
659,field5,Oil Burner 1+2 State
660,field2,TempC
660,field1,Temperature
663,field2,User
663,field1,Money
664,field1,DI
665,field1,Field Label1
666,field1,Temp
667,field2,Light
667,field1,Temp
672,field1,Tank_1
681,field2,Value
681,field1,Time
684,field2,Memory Available (mb)
684,field1,CPU Usage %
686,field1,field1
687,field2,field2
687,field1,field1
688,field1,field1
689,field1,field1
692,field2,Pad Temperature
692,field1,Ambient Temperature
697,field1,field1
702,field2,Discus (
702,field1,Angel (
703,field1,pressed
705,field1,Temperature
712,field2,Humidity %
712,field1,Temperature C
715,field2,Humidity Inside
715,field3,Light Inside
715,field1,Temp Inside
722,field1,Temperature [
722,field2,Humidity [%]
722,field4,Ambient light [lx]
722,field3,Wind speed [km/h]
722,field5,Dew point [
730,field2,green
730,field3,blue
730,field1,red
750,field4,Temperuature 
757,field6,Yahoo temperatur
757,field1,test
757,field7,DMI temperatur
761,field1,Room Temp
761,field2,Tank Temp
761,field4,PH
761,field3,Hood Temp
762,field6,Set Min
762,field1,Keg Set
762,field7,Set Max
762,field2,Keg Ambi
762,field4,Heat/Cool
762,field5,Target
763,field6,Set Min
763,field1,Upper Set
763,field7,Set Max
763,field2,Upper Ambi
763,field4,Heat/Cool
763,field3,Upper Temp
763,field5,Target
765,field1,Field Label1
771,field1,Hum
773,field6,analogPin5
773,field1,analogPin0
773,field2,analogPin1
773,field4,analogPin3
773,field3,analogPin2
773,field5,analogPin4
775,field2,Lys-styrke
775,field1,Temperatur
778,field1,FreezerTemp
779,field1,Field Label1
780,field8,millis
780,field6,HeatSP
780,field1,Vent Pressure
780,field7,CoolSP
780,field2,Vent Temp
780,field4,HVAC Status
780,field3,House Temp
780,field5,Door/Window Status
781,field1,Buzz
790,field1,Weight;kg
791,field2,uSv/h
791,field1,CPM
794,field2,Temperature (C)
794,field1,Pressure (hPa)
795,field1,static discharge
802,field2,Light  Intensity
802,field3,Voltage
802,field1,Temperature
803,field2,LightSensor
803,field3,Temperature
803,field1,Relay1
804,field2,Temp2
804,field3,Humidity
804,field1,Temp1
805,field1,Air Quality
808,field1,ppm
809,field8,Barometric Pressure
809,field6,Rain
809,field1,Temperature
809,field7,Internal Temperature
809,field2,Humidity
809,field4,Wind Direction
809,field3,Wind Speed
809,field5,Luminosity
812,field2,Temperature
812,field1,Light
815,field1,Temperature
816,field2,Sensor01
816,field1,Patio
824,field1,Field Label1
825,field2,display tank temperature
825,field3,room temperature
825,field1,ph
826,field1,Degrees C
827,field2,Frequenz [Hz]
827,field1,F
828,field1,SumpPower
833,field2,%
834,field1,Field Label1
836,field2,outsideTemp
836,field1,insideTemp
837,field6,Current
837,field1,AmbientTemp
837,field2,InletTemp
837,field4,InternelTemp
837,field3,OutletTemp
837,field5,Voltage
838,field6,Current
838,field1,AmbientTemp
838,field2,InletTemp
838,field4,InternelTemp
838,field3,OutletTemp
838,field5,Voltage
839,field2,Blatherskite
839,field3,Frobnicator
839,field1,Netduino Plus
840,field2,outsideTemp
840,field1,insideTemp
849,field1,Field Label1
852,field2,Target Temperature
852,field3,Outdoor Temperature
852,field1,Indoor Temperature
853,field1,<iframe width="450" height="250" style="border: 1px solid #cccccc;" src="https://www.thingspeak.com/channels/853/charts/1?timescale=61&days=1&bgcolor=Yellow&color=Blue&yaxis=Grados%20(%C2%B0C)&xaxis=Tiempo%20(Min)&title=Planta%20T%C3%A9rmica%20P.B.%20PA">
854,field1,Temperature
854,field2,Wind Speed
854,field4,Internal Battery
854,field3,External Battery
864,field1,field1
866,field6,precipitation
866,field1,temp
866,field2,humidity
866,field4,winddir
866,field3,windspeed
866,field5,light
869,field2,Power using a hour
869,field1,Power using now
871,field1,Ambient Temperature
871,field2,Ambient Humidity
871,field4,Inside Humidity
871,field3,Inside Temperature
878,field1,Uptime
878,field2,Light Intensity
878,field3,Temperature
879,field6,Ethernet Resets
879,field1,Sump Level High
879,field2,Utility Power Down
879,field4,Monitor Uptime
879,field3,Temperature
879,field5,Received Signal Strength
889,field2,Humidity
889,field1,Temperature
906,field2,Tank Bottom
906,field3,Server
906,field1,Tank Top
909,field2,Outside Temp
909,field1,Water Temp
914,field2,Amount
914,field1,Rate
917,field1,temp1
917,field2,rh
917,field4,temp2
917,field3,pre
917,field5,carga
918,field2,Field Label 2
918,field1,Vdd
922,field1,Sensor 1
922,field2,Sensor 2
922,field4,Sensor 4
922,field3,Sensor 3
924,field2,Temp
926,field1,Temperature
927,field2,mem_avail_mb
927,field1,cpu_pc
930,field1,Sensor de Temperatura
933,field1,Field Label1
934,field1,LAeq15s dB(A)
934,field2,Overflows (aggregate)
934,field4,CPU temp
934,field3,Send Errors (aggregate)
934,field5,Ram Free
941,field1,Telefono prefijo
941,field2,Telefono p 1
941,field4,Telefono p3
941,field3,Telefono p2
941,field5,Resultado
957,field1,Value
959,field8,Retries
959,field6,Good Updates
959,field1,Temperature (F)
959,field7,Bad Updates
959,field2,Total (CF)
959,field4,Usage (CF)
959,field3,Total (Count)
959,field5,Heap
961,field1,Field Label1
962,field2,Generated
962,field1,Used
971,field8,Label1
971,field6,Label1
971,field1,Label1
971,field7,Label1
971,field2,Label1
971,field4,Label1
971,field3,Label1
971,field5,Label1
975,field1,Field Label1
984,field2,Isik (Light)
984,field1,Sicaklik (Temp (*C))
985,field1,Field Label1
991,field2,Humedad
991,field3,Luminosidad
991,field1,Temperatura
1001,field2,temperature
1001,field1,Light
1002,field2,Outside Temp
1002,field3,Current Cost Watts
1002,field1,HAH Temp
1008,field2,Button1
1008,field1,Capt1
1010,field2,Heat Time
1010,field1,Cool Time
1027,field1,PE Weather
1030,field2,Tiny LDR
1030,field1,Big LDR
1031,field1,core1
1031,field2,core2
1031,field4,core4
